 2,   86,  0.050,  0.025,   87,  0.040,  0.020,  107,  0.140,  0.122,  117,  0.190,  0.704,  125,  0.130,  0.289,  126,  0.050,  0.040,
 3,   87,  0.750,  0.375,   96,  0.330,  0.168,  116,  0.170,  0.148,  125,  0.000,  0.000,  126,  0.020,  0.044,  132,  0.470,  0.379,
 4,   97,  0.390,  0.195,   97,  0.490,  0.249,  117,  0.450,  0.391,  126,  0.060,  0.222,,,,  133,  0.090,  0.073,
 5,  107,  0.200,  0.100,  106,  0.110,  0.056,  118,  0.050,  0.043,,,,,,,  141,  0.340,  0.274,
 6,  108,  0.180,  0.090,  107,  0.680,  0.345,  126,  0.110,  0.096,,,,,,,  142,  0.030,  0.024,
 7,  117,  0.020,  0.010,  116,  0.150,  0.076,  127,  0.190,  0.165,,,,,,,,,,
 8,,,,  117,  0.130,  0.066,,,,,,,,,,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,511,511,511,512,512,512,513,513,513,514,514,514,515,515,515,516,516,516,
 1,  133,  0.090,  0.155,  117,  0.160,  0.105,  126,  0.120,  0.103,  127,  0.010,  0.006,  143,  0.490,  0.331,  152,  0.000,  0.000,
 2,  141,  0.030,  0.052,  126,  0.810,  0.533,  127,  0.070,  0.060,  134,  0.500,  0.287,  144,  0.200,  0.135,  153,  0.320,  0.314,
 3,  142,  0.450,  0.776,  132,  0.020,  0.013,  133,  0.450,  0.385,  142,  0.160,  0.092,  153,  0.500,  0.338,  213,  0.630,  0.618,
 4,  152,  0.010,  0.017,  133,  0.430,  0.283,  134,  0.200,  0.171,  143,  0.480,  0.276,  154,  0.200,  0.135,  214,  0.060,  0.059,
 5,,,,  142,  0.100,  0.066,  142,  0.240,  0.205,  144,  0.020,  0.011,  213,  0.060,  0.041,  223,  0.010,  0.010,
 6,,,,,,,  143,  0.090,  0.077,  152,  0.330,  0.190,  214,  0.030,  0.020,,,,
 7,,,,,,,,,,  153,  0.240,  0.138,,,,,,,
 8,,,,,,,,,,,,,,,,,,,
 9,,,,,,,,,,,,,,,,,,,
 10,,,,,,,,,,,,,,,,,,,
 11,,,,,,,,,,,,,,,,,,,
 12,,,,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,601,601,601,602,602,602,603,603,603,604,604,604,605,605,605,606,606,606,
 1,   54,  0.230,  0.060,  137,  0.480,  0.289,  146,  0.240,  0.136,  147,  0.050,  0.048,  147,  0.220,  0.079,  217,  0.010,  0.011,
 2,   55,  0.230,  0.060,  138,  0.290,  0.175,  147,  0.650,  0.367,  207,  0.650,  0.625,  148,  0.270,  0.097,  218,  0.530,  0.609,
 3,   56,  0.420,  0.109,  146,  0.650,  0.392,  206,  0.590,  0.333,  216,  0.000,  0.000,  206,  0.060,  0.022,  219,  0.040,  0.046,
 4,   57,  0.540,  0.140,  147,  0.060,  0.036,  207,  0.250,  0.141,  217,  0.340,  0.327,  207,  0.180,  0.065,  227,  0.290,  0.333,
 5,   58,  0.270,  0.070,  206,  0.180,  0.108,  216,  0.040,  0.023,,,,  208,  0.600,  0.217,,,,
 6,   59,  0.940,  0.244,,,,  217,  0.000,  0.000,,,,  216,  0.150,  0.054,,,,
 7,   60,  0.000,  0.000,,,,,,,,,,  217,  0.670,  0.242,,,,
 8,   61,  0.680,  0.177,,,,,,,,,,  218,  0.480,  0.173,,,,
 9,   62,  0.030,  0.008,,,,,,,,,,  226,  0.140,  0.051,,,,
 10,  137,  0.340,  0.088,,,,,,,,,,  227,  0.000,  0.000,,,,
 11,  146,  0.150,  0.039,,,,,,,,,,,,,,,,
 12,  206,  0.020,  0.005,,,,,,,,,,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,607,607,607,608,608,608,609,609,609,610,610,610,611,611,611,612,612,612,
 1,  148,  0.060,  0.027,  226,  0.140,  0.109,  219,  0.340,  0.152,  140,  0.140,  0.026,  211,  0.270,  0.293,  211,  0.120,  0.226,
 2,  208,  0.370,  0.169,  227,  0.220,  0.172,  220,  0.010,  0.004,  141,  0.000,  0.000,  220,  0.010,  0.011,  221,  0.260,  0.491,
 3,  209,  0.130,  0.059,  235,  0.040,  0.031,  228,  0.570,  0.256,  150,  0.810,  0.149,  221,  0.580,  0.630,  222,  0.150,  0.283,
 4,  218,  0.020,  0.009,  236,  0.320,  0.250,  229,  0.440,  0.197,  151,  0.230,  0.042,  231,  0.060,  0.065,,,,
 5,  219,  0.380,  0.174,  237,  0.470,  0.367,  237,  0.410,  0.184,  210,  0.960,  0.177,,,,,,,
 6,  226,  0.100,  0.046,  244,  0.090,  0.070,  238,  0.460,  0.206,  211,  0.170,  0.031,,,,,,,
 7,  227,  0.500,  0.228,,,,,,,  220,  0.970,  0.179,,,,,,,
 8,  228,  0.450,  0.205,,,,,,,  221,  0.160,  0.029,,,,,,,
 9,  236,  0.100,  0.046,,,,,,,  229,  0.590,  0.109,,,,,,,
 10,  237,  0.080,  0.037,,,,,,,  230,  0.850,  0.157,,,,,,,
 11,,,,,,,,,,  238,  0.200,  0.037,,,,,,,
 12,,,,,,,,,,  239,  0.350,  0.064,,,,,,,
 13,,,,,,,,,,,,,,,,,,,
 14,,,,,,,,,,,,,,,,,,,
 15,,,,,,,,,,,,,,,,,,,
,
,
,
,
N,613,613,613,614,614,614,701,701,701,702,702,702,703,703,703,704,704,704,
 1,  237,  0.090,  0.155,  232,  0.020,  0.009,  154,  0.020,  0.013,  144,  0.130,  0.065,  155,  0.360,  0.135,  224,  0.470,  0.227,
 2,  238,  0.170,  0.293,  238,  0.290,  0.131,  213,  0.050,  0.033,  145,  0.020,  0.010,  201,  0.000,  0.000,  225,  0.230,  0.111,
 3,  244,  0.320,  0.552,  239,  0.980,  0.443,  214,  0.280,  0.185,  154,  0.830,  0.415,  214,  0.370,  0.139,  233,  0.340,  0.164,
